condition,loss_pct,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,detector_efficiency,run,note
baseline,,0.11392405063291139,2373,0,0.0,48.53701329231262,0.0,0.5,1,
loss_1pct,1,0.09565217391304348,2309,186,0.0186,54.362220287323,3.421493806119878,0.5,1,
loss_5pct,5,0.13043478260869565,2304,0,0.0,57.8567636013031,0.0,0.5,1,
loss_15pct,15,0.12393162393162394,2346,0,0.0,57.617435693740845,0.0,0.5,1,
baseline,,0.10084033613445378,2380,121,0.0121,48.48383188247681,2.4956773279244917,0.5,2,
loss_1pct,1,0.11688311688311688,2318,0,0.0,48.685200929641724,0.0,0.5,2,
loss_5pct,5,0.11297071129707113,2398,0,0.0,57.43782997131348,0.0,0.5,2,
loss_15pct,15,0.0815450643776824,2339,389,0.0389,90.21464371681213,4.311938549811145,0.5,2,
baseline,,0.1440677966101695,2369,0,0.0,47.626237869262695,0.0,0.5,3,
loss_1pct,1,0.10548523206751055,2378,59,0.0059,48.82249045372009,1.208459450791995,0.5,3,
loss_5pct,5,0.10212765957446808,2359,103,0.0103,49.31444549560547,2.0886374968806773,0.5,3,
loss_15pct,15,0.08547008547008547,2342,332,0.0332,163.71130228042603,2.027960167535087,0.5,3,
baseline,,0.09090909090909091,2422,263,0.0263,47.644822120666504,5.520012213161787,0.5,1,
loss_1pct,1,0.10970464135021098,2377,4,0.0004,48.75949192047119,0.08203530927935365,0.5,1,
loss_5pct,5,0.12393162393162394,2348,0,0.0,47.472097396850586,0.0,0.5,1,
loss_15pct,15,0.07929515418502203,2271,410,0.041,181.93397521972656,2.2535647863728143,0.5,1,
baseline,,0.09523809523809523,2311,192,0.0192,47.313103675842285,4.058072396084085,0.5,2,
loss_1pct,1,0.09663865546218488,2387,179,0.0179,49.10198640823364,3.6454736985953073,0.5,2,
loss_5pct,5,0.13924050632911392,2374,0,0.0,50.038610219955444,0.0,0.5,2,
loss_15pct,15,0.09829059829059829,2343,153,0.0153,98.23114919662476,1.5575507489355231,0.5,2,
baseline,,0.09170305676855896,2299,239,0.0239,47.880171060562134,4.9916279475630185,0.5,3,
loss_1pct,1,0.09166666666666666,2402,250,0.025,47.75088405609131,5.2355051627176925,0.5,3,
loss_5pct,5,0.084070796460177,2260,340,0.034,52.233154296875,6.509275661729307,0.5,3,
loss_15pct,15,0.09871244635193133,2336,147,0.0147,69.96433925628662,2.10107036759861,0.5,3,
baseline,,0.1282051282051282,2349,0,0.0,48.44910383224487,0.0,0.5,4,
